@relation afterProcGTZAN-weka.filters.unsupervised.attribute.NumericToNominal-R23

@attribute RMS_Energy numeric
@attribute Roll_Off_85 numeric
@attribute Roll_Off_90 numeric
@attribute MFCC_1 numeric
@attribute MFCC_2 numeric
@attribute MFCC_3 numeric
@attribute MFCC_4 numeric
@attribute MFCC_5 numeric
@attribute MFCC_6 numeric
@attribute MFCC_7 numeric
@attribute MFCC_8 numeric
@attribute MFCC_9 numeric
@attribute MFCC_10 numeric
@attribute MFCC_11 numeric
@attribute MFCC_12 numeric
@attribute MFCC_13 numeric
@attribute Zero_Crossing_Rate numeric
@attribute Spectral_Flatness numeric
@attribute Spectral_Kurtosis numeric
@attribute Spectral_Brightness numeric
@attribute Spectral_Irregularity numeric
@attribute Spectral_Centroid numeric
@attribute Class {0,1}

@data
0.131815,0.545198,0.628112,0.328472,0.426385,0.292606,0.474125,0.532378,0.345612,0.581628,0.643229,0.372685,0.428154,0.279667,0.435963,0.493391,0.520052,0.556944,0.087713,0.658033,0.571022,0.474321,1
0.122082,0.579888,0.64759,0.295403,0.428377,0.302635,0.508882,0.561223,0.433051,0.658841,0.651539,0.397111,0.447718,0.292287,0.37346,0.474702,0.554215,0.593183,0.073793,0.693266,0.452856,0.506831,1
0.206396,0.528081,0.643453,0.301219,0.374327,0.220065,0.423959,0.585318,0.419686,0.661505,0.490941,0.397082,0.352846,0.427779,0.584712,0.512989,0.599332,0.638245,0.082625,0.690896,0.592218,0.505982,1
0.227621,0.474822,0.573362,0.271007,0.407953,0.280086,0.387711,0.607553,0.354285,0.681298,0.431158,0.247183,0.328099,0.486449,0.714878,0.612166,0.608058,0.503098,0.093413,0.69869,0.685278,0.490683,1
0.139306,0.571025,0.643829,0.324182,0.435665,0.352241,0.538785,0.510099,0.415881,0.526127,0.38299,0.383342,0.405752,0.392482,0.675934,0.558683,0.556628,0.560019,0.080832,0.683813,0.470869,0.489995,1
0.130733,0.47551,0.596526,0.37612,0.386997,0.194804,0.444339,0.668828,0.419703,0.502397,0.444646,0.545227,0.588789,0.366594,0.494625,0.414821,0.51244,0.488431,0.103976,0.537196,0.361317,0.421852,1
0.13324,0.478261,0.604046,0.307483,0.372956,0.220842,0.435113,0.716525,0.35038,0.481864,0.424376,0.455733,0.579541,0.369042,0.506474,0.507468,0.556071,0.498179,0.097086,0.607314,0.481907,0.464647,1
0.136938,0.55345,0.644356,0.28416,0.500646,0.363489,0.461883,0.532337,0.341148,0.535785,0.429294,0.528478,0.532911,0.486246,0.51204,0.376848,0.644449,0.590053,0.070772,0.710412,0.482417,0.525842,1
0.177043,0.609995,0.683162,0.232021,0.508452,0.362267,0.391854,0.40903,0.286697,0.622124,0.455956,0.536901,0.52267,0.498409,0.482034,0.368954,0.676198,0.634871,0.060663,0.776337,0.565062,0.584706,1
0.181337,0.599068,0.662255,0.225746,0.528584,0.408932,0.429031,0.467401,0.34209,0.454306,0.356366,0.515741,0.627738,0.582191,0.457376,0.29984,0.654846,0.625115,0.064449,0.768624,0.675166,0.580554,1
0.157425,0.562925,0.634429,0.300377,0.441267,0.270373,0.444045,0.48602,0.447457,0.482111,0.243443,0.40814,0.491226,0.588029,0.776494,0.478549,0.610843,0.523984,0.075772,0.681475,0.58269,0.5023,1
0.148691,0.502942,0.614424,0.338347,0.408593,0.328074,0.464966,0.517528,0.336006,0.562189,0.575366,0.367039,0.424023,0.315477,0.581156,0.45805,0.52785,0.526742,0.096792,0.670252,0.407086,0.459826,1
0.143157,0.470849,0.597578,0.340844,0.355381,0.277625,0.420362,0.532619,0.383256,0.602702,0.658083,0.3385,0.394796,0.319768,0.549254,0.485955,0.526922,0.534158,0.110683,0.660149,0.395882,0.44153,1
0.136734,0.56048,0.640972,0.315308,0.40231,0.29147,0.444827,0.465413,0.407021,0.584559,0.670341,0.441987,0.362901,0.32962,0.468094,0.477389,0.54456,0.574537,0.085227,0.696878,0.419743,0.489556,1
0.12717,0.516696,0.59818,0.321128,0.401034,0.304972,0.439701,0.499961,0.423885,0.617193,0.657889,0.480531,0.4409,0.313497,0.477343,0.450549,0.515596,0.515996,0.097422,0.675379,0.472252,0.459147,1
0.189387,0.530144,0.610363,0.297269,0.408575,0.301635,0.496427,0.560543,0.438961,0.605563,0.493216,0.460223,0.485938,0.38691,0.430031,0.244384,0.549016,0.546044,0.088186,0.701021,0.484178,0.49015,1
0.321828,0.499121,0.595322,0.186877,0.353362,0.22685,0.414331,0.612614,0.294403,0.703707,0.564826,0.480468,0.49065,0.311745,0.322922,0.211804,0.648905,0.525062,0.090744,0.771276,0.660872,0.53729,1
0.379943,0.524948,0.597353,0.20887,0.4262,0.264867,0.364,0.563004,0.364237,0.682626,0.603127,0.439794,0.43397,0.198682,0.394219,0.307076,0.691237,0.470718,0.091305,0.728108,0.674527,0.527848,1
0.375088,0.527928,0.610138,0.250986,0.45348,0.247127,0.352755,0.540417,0.418943,0.691482,0.596259,0.461751,0.427743,0.276818,0.290629,0.172253,0.75492,0.536906,0.079687,0.714264,0.578996,0.532668,1
0.32974,0.584244,0.658269,0.244096,0.388599,0.250732,0.394228,0.553901,0.346927,0.586625,0.526347,0.482641,0.549147,0.319678,0.448283,0.27231,0.786112,0.632357,0.076467,0.753195,0.437251,0.554818,1
0.281827,0.589058,0.642852,0.258124,0.367348,0.207548,0.408076,0.579845,0.452598,0.687764,0.483941,0.305304,0.533189,0.47371,0.70597,0.517246,0.667843,0.613289,0.078755,0.702548,0.401916,0.530856,1
0.271873,0.593795,0.649921,0.284164,0.386972,0.244198,0.379064,0.543359,0.455425,0.617451,0.504899,0.360162,0.547083,0.517653,0.66845,0.463718,0.651875,0.649003,0.074992,0.696397,0.396986,0.528501,1
0.28427,0.534729,0.641799,0.260829,0.419047,0.273666,0.344952,0.526505,0.35874,0.655396,0.529587,0.38095,0.415548,0.419408,0.477835,0.396727,0.701263,0.59322,0.082598,0.723742,0.437331,0.534968,1
0.314411,0.492168,0.592991,0.21941,0.314218,0.23073,0.431407,0.622829,0.328,0.695646,0.69587,0.425894,0.595473,0.432354,0.3546,0.171482,0.696992,0.500096,0.103026,0.768859,0.58266,0.504942,1
0.302989,0.575991,0.672332,0.200837,0.378201,0.211053,0.395768,0.635634,0.195145,0.630681,0.581566,0.516877,0.615865,0.331684,0.382334,0.205166,0.691608,0.49725,0.074714,0.781991,0.572112,0.563613,1
0.254584,0.589822,0.646462,0.26107,0.474415,0.333608,0.478938,0.577436,0.35748,0.623041,0.484464,0.512324,0.666256,0.485003,0.493658,0.396177,0.758076,0.65086,0.068182,0.740846,0.459682,0.550662,1
0.211021,0.535952,0.641874,0.205879,0.526297,0.393353,0.331736,0.566495,0.319505,0.509064,0.445085,0.655112,0.584117,0.477754,0.525925,0.439329,0.760861,0.658647,0.078545,0.810429,0.725773,0.60277,1
0.197442,0.518148,0.618561,0.265439,0.446553,0.362733,0.45337,0.607453,0.353473,0.476007,0.397408,0.378965,0.583649,0.443417,0.528307,0.36286,0.685481,0.518134,0.084759,0.725166,0.493976,0.51392,1
0.211115,0.572018,0.64774,0.258018,0.402564,0.237828,0.354884,0.530986,0.379458,0.577379,0.475272,0.504074,0.499902,0.396798,0.606578,0.505885,0.679354,0.568796,0.072609,0.701468,0.557925,0.53312,1
0.23731,0.628792,0.693916,0.277798,0.403122,0.247868,0.398723,0.479573,0.389284,0.540833,0.489999,0.538422,0.464431,0.429466,0.608737,0.50245,0.653732,0.63733,0.063346,0.729206,0.632501,0.561633,1
0.21965,0.497211,0.594495,0.30795,0.365653,0.20605,0.36469,0.516725,0.327961,0.562023,0.46896,0.410392,0.495322,0.430571,0.582168,0.552115,0.588192,0.556321,0.093989,0.626534,0.587907,0.468816,1
0.162484,0.478567,0.593141,0.353413,0.389675,0.280009,0.441839,0.51173,0.260251,0.471791,0.544337,0.507246,0.546637,0.417048,0.47246,0.377094,0.540661,0.529564,0.107274,0.612221,0.477323,0.438299,1
0.124254,0.4804,0.586674,0.293082,0.467323,0.394733,0.436752,0.561307,0.339677,0.684388,0.487132,0.473963,0.485478,0.357416,0.447489,0.400773,0.579465,0.559447,0.095911,0.715352,0.574329,0.495316,1
0.114105,0.50638,0.622546,0.244439,0.521945,0.481539,0.506079,0.654749,0.361493,0.571154,0.416353,0.474225,0.440885,0.383051,0.633433,0.508251,0.587635,0.596689,0.088713,0.771015,0.39518,0.543076,1
0.160906,0.521663,0.641573,0.337836,0.427677,0.311868,0.46278,0.658055,0.405888,0.571944,0.498934,0.412898,0.427707,0.385114,0.602333,0.462194,0.561456,0.586495,0.090301,0.655631,0.519271,0.483057,1
0.239313,0.523955,0.63473,0.292138,0.373973,0.218187,0.431749,0.684121,0.399097,0.524676,0.613408,0.459471,0.361378,0.3662,0.614864,0.610629,0.605087,0.56722,0.085737,0.675752,0.65942,0.495914,1
0.233306,0.624895,0.680454,0.256093,0.464598,0.322197,0.436268,0.474193,0.414118,0.548604,0.515226,0.519328,0.442898,0.45584,0.628493,0.528938,0.668957,0.632425,0.06034,0.769119,0.581758,0.579766,1
0.166549,0.595935,0.642025,0.278744,0.477353,0.363743,0.509659,0.427405,0.276909,0.540155,0.449033,0.357955,0.491067,0.521005,0.630867,0.468152,0.641849,0.605671,0.070739,0.748292,0.61317,0.531855,1
0.130896,0.476198,0.590885,0.307475,0.423036,0.376683,0.471174,0.557627,0.328756,0.572897,0.550797,0.336397,0.457237,0.411281,0.53379,0.464506,0.558671,0.518215,0.103702,0.703687,0.46439,0.469208,1
0.115284,0.53343,0.628864,0.252643,0.49141,0.416529,0.499493,0.610324,0.321581,0.539594,0.455098,0.426807,0.450543,0.376897,0.586375,0.478575,0.581322,0.61695,0.081116,0.757091,0.382216,0.537371,1
0.118554,0.515397,0.608709,0.301045,0.497194,0.354357,0.458004,0.650391,0.390585,0.559877,0.445732,0.45206,0.434866,0.365134,0.508781,0.457593,0.569068,0.559455,0.08108,0.680063,0.36911,0.503675,1
0.129446,0.506762,0.599158,0.347014,0.431621,0.253658,0.459619,0.681324,0.449511,0.614352,0.51868,0.373767,0.489435,0.32473,0.559153,0.459665,0.510212,0.508618,0.093024,0.612959,0.520548,0.454586,1
0.163208,0.551387,0.644205,0.288593,0.396474,0.231749,0.415179,0.659599,0.389114,0.563622,0.575395,0.47934,0.468255,0.280358,0.568555,0.56363,0.583921,0.558458,0.077701,0.695067,0.612272,0.510207,1
0.18089,0.641629,0.714522,0.245195,0.458367,0.354199,0.419378,0.408925,0.404715,0.481648,0.475516,0.520787,0.456698,0.455892,0.589966,0.568814,0.637579,0.628126,0.062413,0.783481,0.701994,0.587287,1
0.15047,0.611446,0.66421,0.304274,0.457823,0.403919,0.547208,0.460941,0.417915,0.467797,0.418514,0.443452,0.447984,0.392936,0.68993,0.574393,0.581879,0.619279,0.074309,0.733445,0.73456,0.521957,1
0.079354,0.086116,0.110551,0.823794,0.448259,0.491956,0.546877,0.600627,0.475625,0.399099,0.516313,0.424849,0.37672,0.458744,0.45021,0.481302,0.132009,0.039332,0.892482,0.08515,0.454879,0.041899,1
0.080047,0.128295,0.145221,0.76189,0.410629,0.459829,0.543035,0.612369,0.397618,0.513005,0.519348,0.46579,0.558416,0.42978,0.345843,0.488513,0.157074,0.050132,0.62448,0.142413,0.450113,0.074133,1
0.100335,0.106289,0.14319,0.776138,0.417936,0.422174,0.446345,0.62825,0.336831,0.399065,0.538385,0.549634,0.642691,0.493274,0.468159,0.530561,0.165429,0.041092,0.657293,0.109527,0.464243,0.072986,1
0.096457,0.122488,0.142438,0.809826,0.359571,0.45609,0.53952,0.571945,0.411611,0.486607,0.461125,0.406717,0.612838,0.528948,0.443127,0.5473,0.160602,0.033122,0.780015,0.122973,0.581982,0.063061,1
0.111302,0.115382,0.144694,0.793566,0.326886,0.354596,0.415332,0.627075,0.478941,0.503457,0.417494,0.411835,0.719791,0.690042,0.63568,0.597394,0.17954,0.037446,0.75758,0.111325,0.511299,0.0841,1
0.130895,0.134255,0.167557,0.730567,0.37654,0.346432,0.396436,0.668882,0.42402,0.491204,0.432123,0.493941,0.671108,0.589832,0.643883,0.691249,0.175826,0.054383,0.552532,0.137834,0.510778,0.096164,1
0.143663,0.147322,0.172971,0.735116,0.363941,0.43979,0.445216,0.547789,0.348046,0.420032,0.493587,0.445246,0.484176,0.483817,0.554517,0.624894,0.16283,0.044373,0.55581,0.175824,0.544139,0.092129,1
0.132922,0.125926,0.143265,0.789164,0.363406,0.397989,0.406254,0.561063,0.473095,0.572883,0.666225,0.393105,0.425331,0.399339,0.487146,0.520437,0.1658,0.035185,0.715623,0.138031,0.496558,0.076541,1
0.089756,0.114923,0.142137,0.792992,0.369637,0.420127,0.432803,0.503082,0.348884,0.512013,0.648881,0.558833,0.551418,0.416448,0.388406,0.478405,0.157631,0.042677,0.782719,0.119524,0.518332,0.065464,1
0.094584,0.084588,0.099421,0.847405,0.410012,0.383279,0.516496,0.508539,0.375273,0.389143,0.440006,0.540991,0.596391,0.577229,0.549233,0.467917,0.150576,0.034669,0.999239,0.061583,0.497654,0.045605,1
0.094878,0.093681,0.113409,0.840519,0.41811,0.458961,0.628607,0.601827,0.41069,0.448715,0.38851,0.379027,0.403424,0.503286,0.563208,0.514048,0.146862,0.017563,0.995593,0.070428,0.529198,0.035716,1
0.079736,0.10285,0.117244,0.817286,0.386717,0.451755,0.663509,0.586247,0.462975,0.517924,0.419586,0.49227,0.444687,0.411675,0.494427,0.485012,0.140921,0.044397,0.85791,0.102584,0.397923,0.048918,1
0.093115,0.075036,0.091825,0.804874,0.505352,0.400106,0.531912,0.555579,0.3946,0.419253,0.463567,0.510296,0.414331,0.386943,0.55119,0.589066,0.141292,0.052068,0.900726,0.052636,0.240335,0.038589,1
0.07857,0.082983,0.089494,0.800875,0.508577,0.369946,0.49531,0.497026,0.354732,0.377772,0.450225,0.485046,0.425538,0.344699,0.461612,0.612518,0.142963,0.057969,0.879653,0.047836,0.330557,0.04543,1
0.055218,0.08283,0.117771,0.721952,0.586073,0.398666,0.652696,0.597405,0.457535,0.481354,0.458191,0.466022,0.375455,0.424882,0.584429,0.553173,0.101931,0.119946,0.569839,0.073494,0.57075,0.049769,1
0.036949,0.095209,0.173272,0.682213,0.612342,0.378333,0.619059,0.612431,0.52098,0.564142,0.458442,0.435688,0.438496,0.474602,0.578671,0.579763,0.054957,0.168428,0.43625,0.089816,0.426119,0.067947,1
0.032257,0.127608,0.234188,0.647192,0.600528,0.367687,0.623794,0.62817,0.542201,0.599727,0.48649,0.464521,0.469419,0.496391,0.551914,0.591613,0.017453,0.214415,0.35246,0.118425,0.427854,0.08874,1
0.035458,0.111638,0.206588,0.662553,0.598156,0.366939,0.615105,0.655119,0.545236,0.583518,0.506399,0.498671,0.49389,0.499577,0.550869,0.537189,0.010212,0.201801,0.383588,0.105648,0.45317,0.07565,1
0.037333,0.064491,0.083252,0.770031,0.597265,0.364995,0.649592,0.690242,0.566033,0.570272,0.485153,0.512921,0.604196,0.521093,0.377031,0.401168,0.033791,0.099741,0.689612,0.040167,0.436732,0.028816,1
0.035347,0.073814,0.112582,0.742073,0.611723,0.316396,0.609492,0.715832,0.594372,0.565418,0.487216,0.529951,0.570788,0.495629,0.421738,0.445423,0.041032,0.137802,0.542891,0.052867,0.434792,0.047297,1
0.045804,0.104149,0.143341,0.725291,0.494249,0.373932,0.58105,0.722384,0.542336,0.652654,0.525015,0.455765,0.662733,0.434619,0.414858,0.540411,0.057928,0.127452,0.550988,0.106927,0.466454,0.066747,1
0.07474,0.134408,0.159058,0.717427,0.405005,0.45807,0.487679,0.685182,0.497072,0.700394,0.517171,0.48146,0.62828,0.390089,0.466641,0.450983,0.100074,0.060465,0.608851,0.131635,0.493273,0.07347,1
0.094361,0.120348,0.127999,0.799209,0.374143,0.461838,0.541093,0.655845,0.476881,0.641507,0.458838,0.533205,0.438684,0.422481,0.515271,0.378693,0.14352,0.035591,0.733635,0.134227,0.388256,0.061725,1
0.088247,0.115229,0.134391,0.786636,0.398959,0.438514,0.538229,0.649377,0.546026,0.65208,0.468921,0.491843,0.493483,0.408053,0.484312,0.432265,0.152432,0.047091,0.727651,0.117197,0.361132,0.061329,1
0.076847,0.129289,0.152967,0.756178,0.379308,0.425192,0.556935,0.667513,0.501406,0.647395,0.499139,0.539555,0.488224,0.404973,0.514483,0.435743,0.140364,0.067459,0.667687,0.145375,0.42295,0.073762,1
0.075048,0.138764,0.15763,0.71951,0.379401,0.415677,0.595961,0.663921,0.517236,0.630431,0.49128,0.581241,0.455321,0.450926,0.538915,0.420173,0.171185,0.075943,0.595158,0.172157,0.624631,0.082346,1
0.078846,0.130129,0.188915,0.683604,0.412149,0.416823,0.579979,0.697727,0.494113,0.566989,0.494679,0.563267,0.373249,0.494118,0.614308,0.417496,0.158002,0.068796,0.551529,0.166938,0.459469,0.084793,1
0.091132,0.113242,0.14304,0.769224,0.425886,0.463239,0.545523,0.671263,0.494192,0.518089,0.592622,0.580322,0.404937,0.487357,0.490529,0.468014,0.138136,0.043379,0.703079,0.117104,0.412872,0.058331,1
0.078938,0.096279,0.113033,0.811676,0.439487,0.418106,0.577785,0.593764,0.500264,0.537847,0.574406,0.555984,0.4359,0.470026,0.434062,0.408976,0.135165,0.046673,0.819743,0.090209,0.39843,0.045373,1
0.049359,0.100711,0.118523,0.786632,0.473355,0.364949,0.587007,0.586009,0.514665,0.547807,0.539735,0.541279,0.446609,0.460861,0.476341,0.456827,0.107687,0.079627,0.687183,0.092433,0.431179,0.055268,1
0.047349,0.084359,0.114462,0.787428,0.497051,0.343665,0.624218,0.632902,0.574446,0.572531,0.48637,0.519395,0.504276,0.460962,0.474517,0.477116,0.085407,0.095557,0.668956,0.078519,0.487417,0.050674,1
0.053253,0.066478,0.093179,0.791596,0.521899,0.349617,0.623754,0.622378,0.612751,0.634135,0.48675,0.501876,0.515751,0.457792,0.454724,0.478675,0.073524,0.081676,0.748392,0.053025,0.468056,0.030347,1
0.060344,0.084206,0.098067,0.805938,0.434983,0.379749,0.596958,0.641028,0.544887,0.606843,0.540261,0.433371,0.511233,0.515833,0.552078,0.551555,0.096175,0.059723,0.84914,0.075617,0.37087,0.030984,1
0.066723,0.104149,0.1286,0.804598,0.382867,0.422859,0.585301,0.622004,0.600999,0.546128,0.461325,0.513429,0.51291,0.530371,0.594797,0.482836,0.129038,0.047922,0.803878,0.104113,0.478586,0.047961,1
0.08294,0.122641,0.14304,0.775691,0.360584,0.495328,0.571328,0.740196,0.458139,0.584458,0.580199,0.466114,0.698332,0.47966,0.446041,0.511203,0.149276,0.037518,0.689271,0.13218,0.400298,0.063686,1
0.079321,0.104302,0.131533,0.762823,0.411534,0.456424,0.606677,0.695946,0.517242,0.618899,0.618108,0.522091,0.667689,0.50562,0.444454,0.502094,0.134608,0.046015,0.725321,0.103449,0.433704,0.054423,1
0.051337,0.114388,0.157329,0.721455,0.448227,0.427216,0.626018,0.632337,0.544526,0.60743,0.576266,0.615598,0.638942,0.46677,0.476041,0.534281,0.100446,0.096748,0.573825,0.119452,0.446844,0.066365,1
0.095249,0.144495,0.184628,0.722724,0.424107,0.441968,0.529396,0.658853,0.510042,0.571929,0.544946,0.533359,0.525065,0.482989,0.481474,0.45505,0.095433,0.10422,0.545065,0.153162,0.444074,0.087084,1
0.130562,0.13884,0.176656,0.743378,0.427498,0.487831,0.485641,0.646032,0.44725,0.557723,0.531034,0.532109,0.48989,0.488334,0.49259,0.411,0.123468,0.029516,0.532411,0.142864,0.718046,0.076872,1
0.109385,0.148774,0.206889,0.731735,0.409042,0.521414,0.481115,0.686286,0.484691,0.461875,0.640709,0.595663,0.498651,0.540314,0.494381,0.46302,0.165058,0.053564,0.530495,0.177988,0.682717,0.086679,1
0.080409,0.13991,0.171166,0.755587,0.371986,0.520674,0.5177,0.606716,0.473712,0.61015,0.602795,0.618606,0.512264,0.434538,0.490355,0.478652,0.183067,0.044302,0.588223,0.176366,0.395537,0.077679,1
0.065104,0.139375,0.171843,0.741138,0.359596,0.4258,0.53121,0.632938,0.545199,0.543075,0.596538,0.547622,0.47753,0.561913,0.533638,0.527695,0.170628,0.073835,0.586305,0.174647,0.428207,0.093475,1
0.086153,0.101169,0.126269,0.826833,0.389237,0.444738,0.508399,0.619047,0.517968,0.53031,0.622105,0.533556,0.464481,0.505757,0.45682,0.419052,0.15466,0.040361,0.81283,0.103711,0.398662,0.05635,1
